Device Time, 0-100kph Time(s),100,011c obd standards vehicle conforms to,120,140,160,0901 vin message count,902,903,904,905,906,907,908,909,090A,090B,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
28:31.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,21,0.00177777,22.35294151,821,-,-,4493.269123,-,-,0.00238403,9,13.92362285,1.50590062,8.82488632,11.33135509,14.18999958,4.25395679,24.92905617,-,-,152,48,-,-,1.50590062,4.25395679,-0.7763772,-,12.69999981,78
28:32.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,21,0.00177777,22.35294151,821,-,-,4493.269123,-,-,0.00238403,9,13.92362285,1.50590062,8.82488632,11.33135509,14.18999958,4.25395679,24.92905617,-,-,152,48,-,-,1.50590062,4.25395679,-0.7763772,-,12.69999981,78
28:33.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,21,0.00177777,22.35294151,821,-,-,4493.269123,-,-,0.00238403,9,13.92362285,1.50590062,8.82488632,11.33135509,14.18999958,4.25395679,24.92905617,-,-,152,48,-,-,1.50590062,4.25395679,-0.7763772,-,12.69999981,78
28:34.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,22,-,21.96078491,820,-,-,4493.269123,-,-,-,9,13.92362285,1.87373471,8.81236172,11.34745979,14.13000011,5.29303598,24.89367676,-,-,152,48,-,-,1.68981767,4.77349615,-0.7763772,-,12.69999981,78
28:35.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,22,-,21.96078491,820,-,-,4493.269123,-,-,-,9,13.92362285,1.87373471,8.81236172,11.34745979,14.13000011,5.29303598,24.89367676,-,-,152,48,-,-,1.68981767,4.77349615,-0.7763772,-,12.69999981,78
28:36.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,22,-,21.96078491,820,-,-,4429.452519,-,-,-,9,13.92362285,1.87373471,8.81236172,11.34745979,14.13000011,5.29303598,24.89367676,-,-,152,48,-,-,1.68981767,4.77349615,-0.7763772,-,12.80000019,78
28:37.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,22,-,21.96078491,820,-,-,4429.452519,-,-,-,9,13.92362285,1.87373471,8.81236172,11.34745979,14.13000011,5.29303598,24.89367676,-,-,152,48,-,-,1.68981767,4.77349615,-0.7763772,-,12.80000019,78
28:38.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,22,-,21.96078491,820,-,-,4429.452519,-,-,-,9,13.92362285,1.87373471,8.81236172,11.34745979,14.13000011,5.29303598,24.89367676,-,-,152,48,-,-,1.68981767,4.77349615,-0.7763772,-,12.80000019,78
28:39.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,22,-,21.96078491,820,-,-,4429.452519,-,-,-,9,13.92362285,1.87373471,8.81236172,11.34745979,14.13000011,5.29303598,24.89367676,-,-,152,48,-,-,1.68981767,4.77349615,-0.7763772,-,12.80000019,78
28:40.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,22,-,21.96078491,820,-,-,4429.452519,-,-,-,9,13.92362285,1.87373471,8.81236172,11.34745979,14.13000011,5.29303598,24.89367676,-,-,152,48,-,-,1.68981767,4.77349615,-0.7763772,-,12.80000019,78
28:41.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,22,-,21.96078491,820,-,-,4429.452519,-,-,-,9,13.92362285,1.87373471,8.81236172,11.34745979,14.13000011,5.29303598,24.89367676,-,-,152,48,-,-,1.68981767,4.77349615,-0.7763772,-,12.80000019,78
28:42.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,22,0.01782263,21.96078491,820,-,-,4429.452519,-,-,0.02390054,9,13.92362285,1.87373471,8.81236172,11.34745979,14.13000011,5.29303598,24.89367676,-,-,152,48,-,-,1.68981767,4.77349615,-0.7763772,-,12.80000019,78
28:43.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,22,0.01782263,21.96078491,820,-,-,4429.452519,-,-,0.02390054,9,13.92362285,1.87373471,8.81236172,11.34745979,14.13000011,5.29303598,24.89367676,-,-,152,48,-,-,1.68981767,4.77349615,-0.7763772,-,12.80000019,78
28:44.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,22,0.01782263,21.96078491,818,-,-,4429.452519,-,-,0.02390054,9,13.92362285,1.80654311,8.79976082,11.3637085,13.85999966,5.10322905,24.85808182,-,-,152,48,-,-,1.72872615,4.88340712,-0.7763772,-,12.80000019,78
28:45.7,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,22,0.01782263,21.96078491,818,-,-,4588.99403,-,-,0.02390054,9,13.92362285,1.80654311,8.79976082,11.3637085,13.85999966,5.10322905,24.85808182,-,-,152,48,-,-,1.72872615,4.88340712,-0.7763772,-,12.39999962,78
