Device Time, 0-100kph Time(s),Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Engine Coolant Temperature(°C),Fuel Rail Pressure(psi),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Voltage (OBD Adapter)(V)
15-Jan-2022 17:13:49.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:13:51.402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:13:53.402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:13:55.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:13:57.401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:13:59.401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,126.18283081,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:01.402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,126.18283081,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:03.401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:05.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:07.401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:09.401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:11.402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:13.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,126.18283081,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:15.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:17.405,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:19.401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:21.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:23.401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:25.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:27.401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:29.401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,126.18283081,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:31.401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:33.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:35.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,126.18283081,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:37.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:39.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
15-Jan-2022 17:14:41.399,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,94.2745285,-,10,14.64881134,0,-,-,152,48,11.19999981
