Device Time, 0-100kph Time(s),100,011c obd standards vehicle conforms to,120,140,160,900,0901 vin message count,902,903,904,905,906,907,908,909,090A,090B,920,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Sensor1 Wide Range Current(mA),O2 Bank 1 Sensor 1 Wide Range Equivalence Ratio(λ),O2 Bank 1 Sensor 2 Voltage(V),O2 Bank 1 Sensor 4 Voltage(V),Odometer(from ECU)(miles),Speed (OBD)(mph),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%),pids supported 01-20,service 09 pids supported
34:12.5,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.20506954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115.2458496,-,0,-,-,81,-,25.09803963,-,698,-,-,-,-,-,0.78125,-6.25,-,-,63,4.49616988,0,8.70038414,11.49350643,-,0,24.57735634,-0.0703125,0.97965997,0.79000002,-,-,0,13.72549057,-,9.08278847,11.00960541,25.65759659,-10.20382977,-,12.80000019,-,-,-
34:13.5,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.20506954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115.2458496,-,0,-,-,81,-,25.09803963,-,698,-,-,-,-,-,0.78125,-6.25,-,-,63,4.49616988,0,8.70038414,11.49350643,-,0,24.57735634,-0.0703125,0.97965997,0.79000002,-,-,0,13.72549057,-,9.08278847,11.00960541,25.65759659,-10.20382977,-,12.80000019,-,-,-
34:14.5,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.20506954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115.2458496,-,0,-,-,81,-,25.88235283,-,684.75,-,-,-,-,-,0.78125,-7.03125,-,-,63,4.64120762,0,8.70007992,11.49390793,-,0,24.57649803,-0.0703125,0.97965997,0.79000002,-,-,0,13.72549057,-,9.08159733,11.01104927,25.65423012,-10.05879211,-,12.80000019,-,-,-
34:15.5,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.20506954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115.2458496,-,0,-,-,81,-,25.88235283,-,684.75,-,-,-,-,-,0.78125,-7.03125,-,-,62,4.64120762,0,8.70007992,11.49390793,-,0,24.57649803,-0.0703125,0.97965997,0.75,-,-,0,14.11764717,-,9.08159733,11.01104927,25.65423012,-10.05879211,-,12.89999962,-,-,-
34:16.5,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.68977642,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115.2458496,-,0,-,-,81,-,25.88235283,-,684.75,-,-,-,-,-,0.78125,-7.03125,-,-,62,4.64120762,0,8.70007992,11.49390793,-,0,24.57649803,0.01953125,1.01308799,0.75,-,-,0,14.11764717,-,9.08159733,11.01104927,25.65423012,-10.05879211,-,12.89999962,-,-,-
34:17.5,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.68977642,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115.2458496,-,0,-,-,81,-,25.88235283,-,684.75,-,-,-,-,-,0.78125,-7.03125,-,-,62,4.64120762,0,8.70007992,11.49390793,-,0,24.57649803,0.01953125,1.01308799,0.75,-,-,0,14.11764717,-,9.08159733,11.01104927,25.65423012,-10.05879211,-,12.89999962,-,-,-
34:18.5,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.68977642,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115.2458496,-,0,-,-,81,-,25.88235283,-,684.75,-,-,-,-,-,0.78125,-7.03125,-,-,62,4.64120762,0,8.70007992,11.49390793,-,0,24.57649803,0.01953125,1.01308799,0.75,-,-,0,14.11764717,-,9.08159733,11.01104927,25.65423012,-10.05879211,-,12.89999962,-,-,-
34:19.5,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.68977642,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115.2458496,-,0,-,-,81,-,25.88235283,-,684.75,-,-,-,-,-,0.78125,-7.03125,-,-,62,4.64120762,0,8.70007992,11.49390793,-,0,24.57649803,0.01953125,1.01308799,0.75,-,-,0,14.11764717,-,9.08159733,11.01104927,25.65423012,-10.05879211,-,12.89999962,-,-,-
34:20.5,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.68977642,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115.2458496,-,0,-,-,81,-,25.88235283,-,697.5,-,-,-,-,-,0.78125,-7.03125,-,-,62,4.64120762,0,8.69977665,11.49430943,-,0,24.57563972,0.01953125,1.01308799,0.75,-,-,0,14.11764717,-,9.08040905,11.01249027,25.65087318,-10.05879211,-,12.89999962,-,-,-
34:21.5,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.68977642,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115.2458496,-,0,-,-,81,-,25.88235283,-,697.5,-,-,-,-,-,0.78125,-0.78125,-,-,62,4.64120762,0,8.69977665,11.49430943,-,0,24.57563972,0.01953125,1.01308799,0.75,-,-,0,14.11764717,-,9.08040905,11.01249027,25.65087318,-10.05879211,-,12.89999962,-,-,-
