Device Time, 0-100kph Time(s),100,011c obd standards vehicle conforms to,120,140,160,900,0901 vin message count,902,903,904,905,906,907,908,909,090A,090B,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Speed (OBD)(mph),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
04:59.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70460415,11.48793411,0,0,24.58927727,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:00.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70460415,11.48793411,0,0,24.58927727,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:01.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70460415,11.48793411,0,0,24.58927727,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:02.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70460415,11.48793411,0,0,24.58927727,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:03.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70460415,11.48793411,0,0,24.58927727,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:04.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70398521,11.48875046,0,0,24.58753014,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:05.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70398521,11.48875046,0,0,24.58753014,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:06.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70398521,11.48875046,0,0,24.58753014,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:07.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70398521,11.48875046,0,0,24.58753014,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:08.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70398521,11.48875046,0,0,24.58753014,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:09.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70398521,11.48875046,0,0,24.58753014,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:10.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70398521,11.48875046,0,0,24.58753014,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:11.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70398521,11.48875046,0,0,24.58753014,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:12.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70398521,11.48875046,0,0,24.58753014,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:13.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70336819,11.48956585,0,0,24.58578491,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:14.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70336819,11.48956585,0,0,24.58578491,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:15.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70336819,11.48956585,0,0,24.58578491,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:16.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70336819,11.48956585,0,0,24.58578491,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:17.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70336819,11.48956585,0,0,24.58578491,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:18.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70336819,11.48956585,0,0,24.58578491,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:19.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70336819,11.48956585,0,0,24.58578491,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:20.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70336819,11.48956585,0,0,24.58578491,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:21.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70336819,11.48956585,0,0,24.58578491,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:22.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70275116,11.49038029,0,0,24.5840435,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:23.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70275116,11.49038029,0,0,24.5840435,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:24.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70275116,11.49038029,0,0,24.5840435,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:25.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70275116,11.49038029,0,0,24.5840435,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:26.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70275116,11.49038029,0,0,24.5840435,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:27.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70275116,11.49038029,0,0,24.5840435,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:28.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70275116,11.49038029,0,0,24.5840435,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:29.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70275116,11.49038029,0,0,24.5840435,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:30.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70275116,11.49038029,0,0,24.5840435,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:31.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70213509,11.49119377,0,0,24.582304,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:32.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70213509,11.49119377,0,0,24.582304,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:33.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70213509,11.49119377,0,0,24.582304,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:34.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70213509,11.49119377,0,0,24.582304,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:35.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70213509,11.49119377,0,0,24.582304,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:36.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70213509,11.49119377,0,0,24.582304,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:37.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70213509,11.49119377,0,0,24.582304,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:38.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70213509,11.49119377,0,0,24.582304,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:39.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70213509,11.49119377,0,0,24.582304,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:40.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70152092,11.49200535,0,0,24.58056641,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,11,-
05:41.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70152092,11.49200535,0,0,24.58056641,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:42.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70152092,11.49200535,0,0,24.58056641,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:43.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70152092,11.49200535,0,0,24.58056641,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:44.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70152092,11.49200535,0,0,24.58056641,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:45.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70152092,11.49200535,0,0,24.58056641,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:46.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70152092,11.49200535,0,0,24.58056641,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:47.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70152092,11.49200535,0,0,24.58056641,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:48.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70152092,11.49200535,0,0,24.58056641,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
05:49.6,-,2554003456,6,160,-,-,255,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227152,4.70588255,0,3,-,0,-,0,-,-,-,94.2745297,-,-,-,6,14.64881154,0,8.70090675,11.49281597,0,0,24.57883263,-,-,152,0,0,-,-,-,-,-,-0.05118848,-,10.89999962,-
