Device Time, 0-100kph Time(s),100,011c obd standards vehicle conforms to,120,140,160,900,0901 vin message count,902,903,904,905,906,907,908,909,090A,090B,920,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Sensor1 Wide Range Current(mA),O2 Bank 1 Sensor 1 Wide Range Equivalence Ratio(λ),O2 Bank 1 Sensor 2 Voltage(V),O2 Bank 1 Sensor 4 Voltage(V),Odometer(from ECU)(miles),Speed (OBD)(mph),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%),pids supported 01-20,service 09 pids supported
27:28.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,25,-,25.88235283,-,844,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.67018604,11.53353786,-,0,24.49205208,-0.01171875,0.99673998,0.46000001,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.30000019,-,-,-
27:29.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,25,-,25.88235283,-,844,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.67018604,11.53353786,-,0,24.49205208,-0.01171875,0.99673998,0.46000001,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.5,-,-,-
27:30.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,25,-,25.88235283,-,844,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.67018604,11.53353786,-,0,24.49205208,-0.01171875,0.99673998,0.46000001,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.5,-,-,-
27:31.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,25,-,25.88235283,-,844,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.67018604,11.53353786,-,0,24.49205208,-0.01171875,0.99673998,0.46000001,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.5,-,-,-
27:32.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,25,-,25.88235283,-,844,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.67018604,11.53353786,-,0,24.49205208,-0.01171875,0.99673998,0.46000001,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.5,-,-,-
27:33.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,25,-,25.88235283,-,844,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.67018604,11.53353786,-,0,24.49205208,-0.01171875,0.99673998,0.46000001,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.5,-,-,-
27:34.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,26,-,25.49019623,-,838,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.66975021,11.5341177,-,0,24.49081993,-0.01171875,0.99673998,0.46000001,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.5,-,-,-
27:35.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,26,-,25.49019623,-,838,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.66975021,11.5341177,-,0,24.49081993,-0.01171875,0.99673998,0.465,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.39999962,-,-,-
27:36.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,26,-,25.49019623,-,838,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.66975021,11.5341177,-,0,24.49081993,-0.01171875,0.99673998,0.465,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.39999962,-,-,-
27:37.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,26,-,25.49019623,-,838,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.66975021,11.5341177,-,0,24.49081993,-0.01171875,0.99673998,0.465,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.39999962,-,-,-
27:38.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,26,-,25.49019623,-,838,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.66975021,11.5341177,-,0,24.49081993,-0.01171875,0.99673998,0.465,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.39999962,-,-,-
27:39.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,26,-,25.49019623,-,838,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.66975021,11.5341177,-,0,24.49081993,-0.01171875,0.99673998,0.465,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.39999962,-,-,-
27:40.7,-,3191777280,6,2147487744,-,4294967296,0,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14.45273018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,27,-,25.49019623,-,838,-,-,-,-,-,2.34375,0,-,-,10,4.78624535,0,8.66931534,11.53469658,-,0,24.48958969,-0.01171875,0.99673998,0.465,-,-,0,14.90196037,-,-,-,-,-9.91375446,-,13.39999962,-,-,-
