Device Time, 0-100kph Time(s),100,011c obd standards vehicle conforms to,120,140,160,0901 vin message count,902,903,904,905,906,907,908,909,090A,090B,Absolute Throttle Position B(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°C),Barometric pressure (from vehicle)(psi),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)(£/m),Cost per mile/km (Trip)(£/m),CO₂ in g/km (Average)(g/km),Distance to empty (Estimated)(miles),Distance travelled with MIL/CEL lit(miles),EGR Commanded(%),Engine Coolant Temperature(°C),Engine Load(%),Engine RPM(rpm),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),O2 Sensor4 Voltage(V),Odometer(from ECU)(miles),pids supported 01-20,service 09 pids supported,Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%),,,,,
59:12.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,31,14.93888664,13.38000011,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:14.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,31,14.93888664,13.38000011,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:16.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,31,14.93888664,13.38000011,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:18.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:20.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:22.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:24.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:26.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:28.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:30.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:32.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:34.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,31,14.93888664,13.68999958,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:36.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,821,-,-,4333.727539,-,-,-,31,14.93888664,13.65999985,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:38.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,821,-,-,4301.819336,-,-,-,32,14.93888664,13.65999985,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:40.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,821,-,-,4301.819336,-,-,-,32,14.93888664,13.65999985,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:42.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,821,-,-,4301.819336,-,-,-,32,14.93888664,13.65999985,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:44.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,818,-,-,4301.819336,-,-,-,32,14.93888664,13.40999985,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:46.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,13.33333397,818,-,-,4365.635742,-,-,-,32,14.93888664,13.40999985,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:48.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,13.33333397,818,-,-,4365.635742,-,-,-,32,14.93888664,13.40999985,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:50.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,13.33333397,818,-,-,4365.635742,-,-,-,32,14.93888664,13.40999985,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:52.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,13.33333397,819,-,-,4365.635742,-,-,-,32,14.93888664,13.40999985,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:54.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,32,14.93888664,13.40999985,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:56.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,32,14.93888664,13.40999985,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
59:58.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4365.635742,-,-,-,32,14.93888664,13.40999985,-,-,152,48,-,0.23888683,12.69999981,76,,,,,
00:00.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,821,-,-,4365.635742,-,-,-,32,14.93888664,13.80000019,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:02.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,821,-,-,4333.727539,-,-,-,32,14.93888664,13.80000019,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:04.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,821,-,-,4333.727539,-,-,-,32,14.93888664,13.80000019,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:06.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,821,-,-,4333.727539,-,-,-,32,14.93888664,13.80000019,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:08.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,820,-,-,4333.727539,-,-,-,32,14.93888664,13.60999966,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:10.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4365.635742,-,-,-,32,14.93888664,13.60999966,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:12.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4365.635742,-,-,-,32,14.93888664,13.60999966,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:14.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4365.635742,-,-,-,32,14.93888664,13.60999966,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:16.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4365.635742,-,-,-,32,14.93888664,13.72000027,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:18.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4365.635742,-,-,-,32,14.93888664,13.72000027,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:20.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4365.635742,-,-,-,32,14.93888664,13.72000027,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:22.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4365.635742,-,-,-,32,14.93888664,13.72000027,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:24.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,820,-,-,4397.544434,-,-,-,32,14.93888664,13.77000046,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:26.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,820,-,-,4397.544434,-,-,-,32,14.93888664,13.77000046,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:28.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,820,-,-,4397.544434,-,-,-,32,14.93888664,13.77000046,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:30.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,820,-,-,4397.544434,-,-,-,32,14.93888664,13.43999958,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:32.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4365.635742,-,-,-,32,14.93888664,13.43999958,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:34.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4365.635742,-,-,-,32,14.93888664,13.43999958,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:36.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4365.635742,-,-,-,32,14.93888664,13.43999958,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:38.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,820,-,-,4365.635742,-,-,-,32,14.93888664,13.80000019,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:40.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,820,-,-,4301.819336,-,-,-,32,14.93888664,13.80000019,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:42.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,820,-,-,4301.819336,-,-,-,32,14.93888664,13.80000019,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:44.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.94117641,820,-,-,4301.819336,-,-,-,32,14.93888664,13.80000019,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:46.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.15686321,820,-,-,4301.819336,-,-,-,32,14.93888664,13.72000027,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:48.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.15686321,820,-,-,4301.819336,-,-,-,32,14.93888664,13.72000027,-,-,152,48,-,0.23888683,12.80000019,77,,,,,
00:50.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.15686321,820,-,-,4301.819336,-,-,-,32,14.93888664,13.72000027,-,-,152,48,-,0.23888683,12.80000019,77,,,,,
00:52.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.15686321,820,-,-,4301.819336,-,-,-,32,14.93888664,13.72000027,-,-,152,48,-,0.23888683,12.80000019,77,,,,,
00:54.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.15686321,820,-,-,4301.819336,-,-,-,32,14.93888664,13.55000019,-,-,152,48,-,0.23888683,12.80000019,77,,,,,
00:56.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,32,14.93888664,13.55000019,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
00:58.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,32,14.93888664,13.55000019,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
01:00.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,32,14.93888664,13.55000019,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
01:02.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,820,-,-,4333.727539,-,-,-,32,14.93888664,13.55000019,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
01:04.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.15686321,820,-,-,4365.635742,-,-,-,33,14.93888664,14.02000046,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
01:06.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.15686321,820,-,-,4365.635742,-,-,-,33,14.93888664,14.02000046,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
01:08.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.15686321,820,-,-,4365.635742,-,-,-,33,14.93888664,14.02000046,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
01:10.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.15686321,820,-,-,4365.635742,-,-,-,33,14.93888664,14.02000046,-,-,152,48,-,0.23888683,12.69999981,77,,,,,
01:12.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4333.727539,-,-,-,33,14.93888664,13.77000046,-,-,152,48,-,0.23888683,12.80000019,78,,,,,
01:14.2,-,152,6,160,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.28227234,4.70588255,80,12.54901981,819,-,-,4333.727539,-,-,-,33,14.93888664,13.77000046,-,-,152,48,-,0.23888683,12.80000019,78,,,,,
