GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Mass Air Flow Rate(g/s),Speed (GPS)(km/h),Voltage (OBD Adapter)(V)
Sun Dec 26 13:06:48 GMT 2021,26-Dec-2021 13:06:49.698,-9.186200000000001,51.956599999999995,0.22750722,3.8,209.4,345.79,-3.72,6.769,5.385,0.011709471,0.0,0.41999998688697815,0.819025993347168,11.5
Sun Dec 26 13:06:49 GMT 2021,26-Dec-2021 13:06:50.698,-9.186195,51.95659166666666,0.17037305,3.6,209.4,109.04,-4.27,6.848,5.307,-0.0011802852,0.0,0.41999998688697815,0.6133430004119873,11.5
Sun Dec 26 13:06:51 GMT 2021,26-Dec-2021 13:06:51.698,-9.186191666666668,51.95659833333334,0.27074388,3.5,209.3,77.43,-4.034,7.005,5.072,-0.020044731,0.0,0.41999998688697815,0.9746779203414917,11.5
Sun Dec 26 13:06:52 GMT 2021,26-Dec-2021 13:06:52.698,-9.186211666666667,51.956556666666664,0.39530668,3.3,209.2,77.34,-1.994,6.377,7.033,0.007867038,0.0,0.41999998688697815,1.4231040477752686,11.5
Sun Dec 26 13:06:53 GMT 2021,26-Dec-2021 13:06:53.698,-9.186225,51.95655166666667,0.30265668,2.9,208.8,291.97,-2.23,6.377,6.798,0.0026145652,0.0,0.41999998688697815,1.0895639657974243,11.5
Sun Dec 26 13:06:54 GMT 2021,26-Dec-2021 13:06:54.698,-9.186228333333334,51.95655333333334,0.26353776,2.6,208.7,297.39,-2.073,6.299,7.347,7.703304E-4,0.0,0.41999998688697815,0.9487359523773193,11.5
Sun Dec 26 13:06:55 GMT 2021,26-Dec-2021 13:06:55.698,-9.18624,51.956568333333344,0.15699027,2.5,208.5,303.49,-0.974,6.377,7.033,0.003230732,0.0,0.41999998688697815,0.5651649832725525,11.5
Sun Dec 26 13:06:56 GMT 2021,26-Dec-2021 13:06:56.697,-9.186245000000001,51.95658,0.16007861,2.4,208.3,211.43,-0.818,6.534,6.955,-2.5531053E-4,0.0,0.41999998688697815,0.5762829780578613,11.5
Sun Dec 26 13:06:57 GMT 2021,26-Dec-2021 13:06:57.698,-9.18625,51.95657500000001,0.07103167,2.4,208.1,171.67,-0.582,6.455,7.268,0.011665344,0.0,0.41999998688697815,0.2557139992713928,11.5
Sun Dec 26 13:06:58 GMT 2021,26-Dec-2021 13:06:58.698,-9.186263333333333,51.95656999999999,0.18427056,2.3,207.9,278.95,-0.739,6.534,7.033,0.0012505297,0.0,0.41999998688697815,0.6633740067481995,11.5
